Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
1,SCSA1104,Problem Solving Techniques with C and C++,Theory,42,AAA,AAA,100,RA
1,SMTA1101,Engineering Mathematics - I ,Theory,44,2,46,100,RA
2,SCSA1201,Fundamentals of Digital Systems,Theory,32,0,32,100,RA
2,SMTA1201,Engineering Mathematics  - II,Theory,26,0,26,100,RA
2,SPHA1202,Physics for Information Science,Theory,31,8,39,100,RA
3,SCSA1301,Database Management Systems,Theory,12,11,23,100,RA
3,SCSA1302,Theory of Computation,Theory,14,10,24,100,RA
3,SCSA1304,Advanced Data Structures,Theory,10,3,13,100,RA
3,SITA1301,Programming in Java,Theory,10,12,22,100,RA
3,SMTA1302,Discrete Mathematics,Theory,16,AAA,AAA,100,RA
3,    SCSA2302,Code Optimization and Debugging - I,Practical,AAA,AAA,AAA,50,RA
3,SITA2302,Programming in Java Lab,Practical,30,30,60,100,Pass
4,SAIC4003,Universal Human Values,Theory,41,26,67,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,30,21,51,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,30,7,37,100,RA
4,SCSA3016,Data Science,Theory,32,10,42,100,RA
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,32,2,34,100,RA
4,SMTA1402,Probability and Statistics,Theory,26,13,39,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,9,30,39,100,RA
4,SCSA2402,Code Optimization and Debugging - II,Practical,AAA,AAA,AAA,50,RA
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,26,35,61,100,Pass
